"","grav_moist_percent","yvar","SE","df","LCL","UCL","tvar","xvar"
"1",0,0.902381068941154,0.0699190262083874,Inf,0.661119805024356,0.977678760677751,"1",0
"2",5,0.874217191097821,0.0766523677127437,Inf,0.639342874046341,0.964601006403896,"1",5
"3",10,0.839374158651587,0.0822650280900704,Inf,0.612465052317934,0.945291377768342,"1",10
"4",15,0.797119193885954,0.0869558829502822,Inf,0.577989569537374,0.918507970177839,"1",15
"5",20,0.747097617394008,0.091861974728837,Inf,0.532523643937378,0.884536164972927,"1",20
"6",25,0.689546282183703,0.0990517991819932,Inf,0.472806424515549,0.846170979652201,"1",25
"7",30,0.625463963227224,0.110438870217142,Inf,0.398624675038536,0.807960223927503,"1",30
"8",35,0.556658698205961,0.126047632083693,Inf,0.315736042258819,0.773584304110729,"1",35
"9",40,0.485608751172926,0.143478023761885,Inf,0.234448495232282,0.744254220651715,"1",40
"10",45,0.415135749823178,0.159107081977037,Inf,0.164221045027945,0.719423226168694,"1",45
"11",50,0.347971546070987,0.169692746661685,Inf,0.109695372353838,0.698027283848106,"1",50
"12",55,0.286353478603849,0.173374503154981,Inf,0.0706997253913883,0.679106495741997,"1",55
"13",60,0.23176814592611,0.169908989339917,Inf,0.0444176205119079,0.661945604253712,"1",60
"14",65,0.184892207054234,0.160340079049685,Inf,0.0274170654559543,0.646043989423429,"1",65
"15",70,0.145699008804001,0.1464142127518,Inf,0.0167208973251267,0.631056619147085,"1",70
"16",75,0.113655479102282,0.130020528772982,Inf,0.0101144659146731,0.616744912857472,"1",75
"17",80,0.0879338846956752,0.112810699577995,Inf,0.00608397665480852,0.602942244362335,"1",80
"18",85,0.0675894979341177,0.0960237320966489,Inf,0.00364528880160839,0.589530933934689,"1",85
"19",90,0.0516852583416074,0.0804652089752528,Inf,0.00217803710231116,0.576427066525866,"1",90
"20",95,0.0393653888059837,0.0665718540715315,Inf,0.00129871614526257,0.563570412630803,"1",95
"21",100,0.0298895664997086,0.0545061201206109,Inf,0.000773214974854284,0.550917645909069,"1",100
"22",105,0.0226409530402491,0.0442478802909566,Inf,0.000459807720307592,0.538437702673502,"1",105
"23",110,0.0171192030196145,0.035668769608244,Inf,0.000273180842984576,0.526108549922973,"1",110
"24",115,0.0129263049172635,0.0285860783229159,Inf,0.000162181124022317,0.513914893669027,"1",115
"25",120,0.00975015959736814,0.0227985576580844,Inf,9.62242064234409e-05,0.501846525128324,"1",120
"26",125,0.00734862049414403,0.0181082915792687,Inf,5.70619052433883e-05,0.48989710669708,"1",125
"27",130,0.0055352924335935,0.0143327420982067,Inf,3.38236280202561e-05,0.478063266015422,"1",130
"28",135,0.00416753829853586,0.0113103213401832,Inf,2.00416326896246e-05,0.466343909247167,"1",135
"29",140,0.00313668610223552,0.00890196066433221,Inf,1.18715316977991e-05,0.454739692715904,"1",140
"30",145,0.00236021372982005,0.00699037708277513,Inf,7.03005912355646e-06,0.443252610637451,"1",145
"31",150,0.00177561119214002,0.00547814704193883,Inf,4.16202359808028e-06,0.431885669213204,"1",150
"32",155,0.00133561529868187,0.00428527814759709,Inf,2.463518541995e-06,0.420642625898366,"1",155
"33",160,0.00100454052814359,0.00334668629059981,Inf,1.45788534329457e-06,0.409527778570553,"1",160
"34",165,0.000755471096628213,0.0026098021598781,Inf,8.62613222913524e-07,0.398545793461141,"1",165
"35",170,0.000568121725953815,0.00203241656434603,Inf,5.10319044742552e-07,0.387701563638974,"1",170
"36",175,0.000427213285205886,0.00158080523290884,Inf,3.01861027979888e-07,0.377000091928605,"1",175
"37",180,0.000321242439364609,0.00122813453046116,Inf,1.78532686630329e-07,0.366446393654962,"1",180
"38",185,0.000241551456108003,0.000953128784825961,Inf,1.05579341506243e-07,0.356045415704702,"1",185
"39",190,0.000181625915459724,0.00073897041200112,Inf,6.2430260709401e-08,0.345801969199594,"1",190
"40",195,0.000136565033243653,0.00057240109936016,Inf,3.69122306676934e-08,0.335720673671373,"1",195
"41",200,0.000102682481873331,0.000442993034987262,Inf,2.18226697008568e-08,0.325805911068576,"1",200
"42",205,7.72057325864802e-05,0.000342561761659074,Inf,1.29006332537922e-08,0.316061788255186,"1",205
"43",210,5.80497018925138e-05,0.000264695614591176,Inf,7.62574925203719e-09,0.306492106908138,"1",210
"44",215,4.36463946326879e-05,0.000204380256646137,Inf,4.50738696472374e-09,0.297100339907401,"1",215
"45",220,3.28167224624643e-05,0.000157700218689713,Inf,2.66403689696662e-09,0.287889613454144,"1",220
"46",225,2.46740741886097e-05,0.000121602422442067,Inf,1.57445665002966e-09,0.27886269426111,"1",225
"47",230,1.85517827896228e-05,9.37093455540089e-05,Inf,9.30460794192671e-10,0.270021981243203,"1",230
"48",235,1.39485728705724e-05,7.21717779352959e-05,Inf,5.49849701678106e-10,0.261369501201984,"1",235
"49",240,1.04875345459698e-05,5.55530391043877e-05,Inf,3.24915138610211e-10,0.252906908049958,"1",240
"50",245,7.88527166299945e-06,4.27381172589997e-05,Inf,1.91989419395663e-10,0.244635485162814,"1",245
"51",250,5.92870219197085e-06,3.28624954020086e-05,Inf,1.13440276713155e-10,0.236556150482801,"1",250
"52",255,4.4576133985851e-06,2.52564912067439e-05,Inf,6.70256482632220e-11,0.228669464026251,"1",255
"53",260,3.35154462388536e-06,1.9401795124886e-05,Inf,3.96003995332697e-11,0.220975637474239,"1",260
"54",265,2.51992429101211e-06,1.48975808075579e-05,Inf,2.33961210305527e-11,0.213474545548684,"1",265
"55",270,1.89465390878157e-06,1.14341136882904e-05,Inf,1.38221235248892e-11,0.206165738897585,"1",270
"56",275,1.42453203452344e-06,8.77222336312472e-06,Inf,8.16569399599621e-12,0.199048458233075,"1",275
"57",280,1.07106172333489e-06,6.72735473129745e-06,Inf,4.82391439277031e-12,0.192121649484986,"1",280
"58",285,8.05298221995944e-07,5.15718950325156e-06,Inf,2.84967232961376e-12,0.185383979750859,"1",285
"59",290,6.05478815511643e-07,3.95204818163543e-06,Inf,1.68337057762621e-12,0.178833853840975,"1",290
"60",295,4.55240764033942e-07,3.02745478540247e-06,Inf,9.94385074060742e-13,0.172469431234099,"1",295
"61",300,3.42281414647482e-07,2.3183819517771e-06,Inf,5.87381225842785e-13,0.166288643276222,"1",300
"62",305,2.57350775205615e-07,1.77480027462828e-06,Inf,3.46957778867285e-13,0.160289210470721,"1",305
"63",310,1.934940585992e-07,1.35823894621943e-06,Inf,2.04939073166882e-13,0.154468659723874,"1",310
"64",315,1.45482173465564e-07,1.03912984314455e-06,Inf,1.21050033440175e-13,0.148824341424712,"1",315
"65",320,1.09383526798416e-07,7.94758012643828e-07,Inf,2.22044604925031e-16,0.143353446252498,"1",320
"66",325,8.22420750437936e-08,6.07681141735206e-07,Inf,2.22044604925031e-16,0.138053021618856,"1",325
"67",330,6.18352603900086e-08,4.64511452817066e-07,Inf,2.22044604925031e-16,0.132919987664505,"1",330
"68",335,4.64920103986073e-08,3.54977475655478e-07,Inf,2.22044604925031e-16,0.127951152742831,"1",335
"69",340,3.49558974772965e-08,2.71201798801545e-07,Inf,2.22044604925031e-16,0.123143228333892,"1",340
"70",345,2.62822526810364e-08,2.07145382068643e-07,Inf,2.22044604925031e-16,0.118492843343168,"1",345
"71",350,1.97608087434125e-08,1.58180239006967e-07,Inf,2.22044604925031e-16,0.113996557749132,"1",350
"72",355,1.48575377575456e-08,1.20760996441434e-07,Inf,2.22044604925031e-16,0.10965087557277,"1",355
"73",360,1.1170920725697e-08,9.21725710048921e-08,Inf,2.22044604925031e-16,0.105452257150344,"1",360
"74",365,8.3990679870409e-09,7.03364099781013e-08,Inf,2.22044604925031e-16,0.101397130698141,"1",365
"75",370,6.31499808607003e-09,5.3661768165556e-08,Inf,2.22044604925031e-16,0.0974819031645549,"1",370
"76",375,4.74805072038662e-09,4.09316004523805e-08,Inf,2.22044604925031e-16,0.0937029703707619,"1",375
"77",380,3.56991171293103e-09,3.1215048158087e-08,Inf,2.22044604925031e-16,0.0900567264464309,"1",380
"78",385,2.68410562247721e-09,2.38003470551737e-08,Inf,2.22044604925031e-16,0.0865395725714113,"1",385
"79",390,2.01809556380182e-09,1.81434105965172e-08,Inf,2.22044604925031e-16,0.0831479250382224,"1",390
"80",395,1.51734330790035e-09,1.38284400647261e-08,Inf,2.22044604925031e-16,0.0798782226534384,"1",395
"81",400,1.14084325590937e-09,1.05377587736188e-08,Inf,2.22044604925031e-16,0.0767269334988127,"1",400
"82",405,8.57764572892415e-10,8.02871793695321e-09,Inf,2.22044604925031e-16,0.0736905610751726,"1",405
"83",410,6.44926512600666e-10,6.11602205979236e-09,Inf,2.22044604925031e-16,0.0707656498539179,"1",410
"84",415,4.84900192637663e-10,4.65820621550517e-09,Inf,2.22044604925031e-16,0.0679487902622639,"1",415
"85",420,3.6458137821401e-10,3.5472929815392e-09,Inf,2.22044604925031e-16,0.0652366231293414,"1",420
"86",425,2.74117402621411e-10,2.70088366223553e-09,Inf,2.22044604925031e-16,0.0626258436208974,"1",425
"87",430,2.06100352097838e-10,2.05611256059336e-09,Inf,2.22044604925031e-16,0.0601132046906524,"1",430
"88",435,1.54960446611272e-10,1.56502666974026e-09,Inf,2.22044604925031e-16,0.0576955200764326,"1",435
"89",440,1.16509941731012e-10,1.19105562879209e-09,Inf,2.22044604925031e-16,0.0553696668690364,"1",440
"90",445,8.76002026251708e-11,9.06315351845906e-10,Inf,2.22044604925031e-16,0.0531325876814188,"1",445
"91",450,6.58638686613753e-11,6.89548949482013e-10,Inf,2.22044604925031e-16,0.0509812924452458,"1",450
"92",455,4.95209949865235e-11,5.24554690423918e-10,Inf,2.22044604925031e-16,0.0489128598612102,"1",455
"93",460,3.72332964079814e-11,3.98986078400057e-10,Inf,2.22044604925031e-16,0.0469244385286895,"1",460
"94",465,2.79945578996875e-11,3.03436165798296e-10,Inf,2.22044604925031e-16,0.0450132477794713,"1",465
"95",470,2.10482376690442e-11,2.30738925826568e-10,Inf,2.22044604925031e-16,0.0431765782392961,"1",470
"96",475,1.58255154648023e-11,1.75436342869973e-10,Inf,2.22044604925031e-16,0.0414117921399658,"1",475
"97",480,1.18987130259701e-11,1.33371994991625e-10,Inf,2.22044604925031e-16,0.0397163234037235,"1",480
"98",485,8.94627236560742e-12,1.013811658831e-10,Inf,2.22044604925031e-16,0.0380876775205311,"1",485
"99",490,6.72642403131216e-12,7.70546049674829e-11,Inf,2.22044604925031e-16,0.0365234312377808,"1",490
"100",495,5.05738908899366e-12,5.85584662873045e-11,Inf,2.22044604925031e-16,0.0350212320809075,"1",495
"101",500,3.80249361003669e-12,4.44970917735302e-11,Inf,2.22044604925031e-16,0.0335787977222688,"1",500
